lat_r,lon_r,cluster
26.3,86.4,1185
26.3,86.5,570
26.3,86.6,570
26.3,86.7,1679
26.3,86.8,1679
26.3,86.9,857
26.3,87.0,857
26.3,87.1,293
26.3,87.2,293
26.3,87.3,1655
26.3,87.4,1655
26.3,87.5,1655
26.3,87.6,850
26.3,87.7,850
26.3,87.8,1714
26.3,87.9,1776
26.3,88.0,1776
26.3,88.1,1614
26.3,88.2,1614
26.4,84.3,1224
26.4,84.4,1224
26.4,84.5,647
26.4,85.3,986
26.4,85.4,986
26.4,85.5,922
26.4,86.1,471
26.4,86.2,907
26.4,86.3,1185
26.4,86.4,1185
26.4,86.5,570
26.4,86.6,570
26.4,86.7,18
26.4,86.8,18
26.4,86.9,268
26.4,87.0,268
26.4,87.1,293
26.4,87.2,293
26.4,87.5,1655
26.4,87.6,850
26.4,87.7,850
26.4,87.8,1714
26.4,87.9,1714
26.4,88.1,871
26.4,88.2,1614
26.5,83.9,261
26.5,84.0,261
26.5,84.3,486
26.5,84.4,486
26.5,84.5,486
26.5,84.6,647
26.5,84.7,78
26.5,85.3,986
26.5,85.4,986
26.5,85.5,479
26.5,85.8,1708
26.5,85.9,378
26.5,86.0,897
26.5,86.1,1795
26.5,86.2,1795
26.5,86.3,887
26.5,86.4,887
26.5,86.5,887
26.5,86.9,268
26.5,87.0,268
26.6,84.3,935
26.6,84.4,486
26.6,84.5,486
26.6,84.6,918
26.6,85.2,1966
26.6,85.3,292
26.6,85.4,292
26.6,85.8,673
26.6,85.9,673
26.6,86.0,897
26.6,86.1,1795
26.6,86.2,1920
26.6,86.3,1920
26.7,84.4,935
26.7,84.5,935
26.7,84.6,918
26.7,85.0,1418
26.7,85.1,1966
26.7,85.2,1966
26.7,85.3,292
26.7,85.4,292
26.8,84.3,1595
26.8,84.4,1595
26.8,84.5,1595
26.8,84.6,918
26.8,84.7,918
26.8,84.8,846
26.8,84.9,416
26.8,85.0,1028
26.8,85.1,1028
26.8,85.4,292
26.9,84.2,442
26.9,84.3,1435
26.9,84.4,1595
26.9,84.5,1595
26.9,84.6,969
26.9,84.7,969
26.9,84.8,846
26.9,84.9,416
26.9,85.0,416
27.0,84.1,442
27.0,84.2,442
27.0,84.3,1435
27.0,84.4,1435
27.0,84.5,1435
27.0,84.6,969
27.0,84.7,969
27.0,84.8,969
27.1,84.1,299
27.1,84.2,299
27.1,84.3,148
27.1,84.4,148
27.1,84.5,411
27.1,84.6,411
27.2,84.0,1197
27.2,84.1,1197
27.2,84.2,299
27.2,84.3,148
27.2,84.4,148
27.2,84.5,411
27.2,84.6,411
27.3,83.9,92
27.3,84.0,92
27.3,84.1,1197
27.3,84.2,356
27.3,84.3,356
27.3,84.4,356
27.3,84.5,411
27.3,84.6,411
27.4,83.9,92
27.4,84.0,92
27.4,84.1,92
27.4,84.2,356
25.2,86.2,706
25.2,87.2,1002
25.3,87.1,1391
25.4,87.1,1391
25.5,87.1,1391
25.6,87.0,927
25.7,87.0,1482
25.8,87.0,1482
26.0,86.9,862
26.1,86.8,1493
26.1,86.9,862
26.2,86.8,1493
26.2,86.9,1493
26.3,86.0,1217
26.3,86.1,907
26.4,85.6,479
26.4,86.0,471
26.5,85.6,479
26.5,85.7,1708
26.5,88.1,871
26.6,85.6,246
26.6,85.7,246
26.7,85.6,246
26.7,85.7,1811
26.8,85.5,1030
26.8,85.6,1030
26.8,85.7,1811
24.7,85.4,721
24.8,85.4,1653
24.8,85.5,256
25.3,86.0,1019
25.4,85.9,1019
25.4,86.0,1019
25.5,85.9,1019
25.6,85.8,1441
25.6,85.9,1441
25.7,85.2,1027
26.0,85.1,1022
26.1,84.9,1675
26.1,85.0,1022
26.1,85.1,1022
26.2,84.9,1675
26.2,85.0,1022
26.2,85.1,819
26.3,84.9,1457
26.3,85.0,1762
26.3,85.1,1762
26.4,85.1,1762
26.4,85.2,1762
26.6,84.1,1249
26.6,84.2,1249
26.6,85.1,1966
26.6,85.5,1951
27.5,84.1,92
24.8,84.7,163
24.8,84.8,163
24.9,84.7,163
24.9,85.5,256
24.9,85.6,256
24.9,85.7,1741
25.0,84.6,1283
25.0,84.7,1283
25.0,86.1,1931
25.1,84.6,1283
25.1,84.7,1283
25.1,86.0,144
25.1,86.1,144
25.2,84.6,136
25.2,86.0,144
25.3,84.5,1861
25.3,84.6,136
25.4,84.5,1861
25.4,84.6,1861
25.4,85.3,972
25.5,84.5,795
25.5,85.3,972
25.5,85.4,417
25.6,84.4,1117
25.6,84.5,795
25.6,85.3,1027
25.6,85.5,417
25.7,84.4,642
25.7,85.3,1027
25.7,85.8,1441
25.7,85.9,1441
25.8,85.8,1441
25.8,85.9,1441
25.8,86.0,478
25.9,85.8,1508
25.9,85.9,478
25.9,86.0,478
26.0,85.2,1819
26.0,85.7,1508
26.0,85.8,389
26.0,85.9,478
26.1,85.2,1819
26.1,85.6,880
26.1,85.7,389
26.1,85.8,389
26.1,85.9,389
26.1,86.0,1863
26.2,84.2,1860
26.2,84.3,689
26.2,84.6,1457
26.2,84.7,1457
26.2,84.8,1675
26.2,85.2,819
26.2,85.3,819
26.2,85.4,427
26.2,85.6,880
26.2,85.7,289
26.2,85.8,289
26.2,85.9,1149
26.2,86.0,1217
26.3,84.2,1224
26.3,84.8,1457
26.3,85.6,922
26.3,85.7,289
26.3,85.8,289
26.3,85.9,1149
26.4,84.1,42
26.4,84.2,42
26.4,84.6,647
26.4,84.7,78
26.4,84.8,78
26.4,84.9,78
26.4,87.4,1655
26.5,84.1,42
26.5,84.2,42
26.1,85.3,1819
26.3,85.2,819
26.4,85.0,1762
26.4,85.7,1708
26.4,85.8,1708
26.5,84.8,78
26.5,84.9,1418
26.5,85.0,1418
26.5,85.1,1762
26.5,85.2,986
26.6,84.7,78
26.6,84.8,78
26.6,85.0,1418
26.7,84.7,918
26.7,85.5,1951
26.1,85.4,880
26.4,85.9,378
26.6,84.9,1418
26.7,84.8,846
26.7,84.9,1418
21.2,82.8,1718
21.2,82.9,1834
21.2,83.0,1834
21.2,83.1,1834
21.3,82.8,1554
21.3,82.9,309
21.3,83.0,1170
21.3,83.1,1170
21.3,83.2,676
21.4,82.7,583
21.4,82.8,309
21.4,82.9,309
21.4,83.0,1170
21.4,83.1,1170
21.4,83.2,676
21.4,83.3,676
21.5,82.7,583
21.5,82.8,1463
21.5,82.9,381
21.5,83.0,381
21.5,83.1,381
21.5,83.2,676
21.5,83.3,676
21.6,82.7,1463
21.6,82.8,1463
21.6,82.9,381
21.6,83.0,381
21.6,83.1,381
21.6,83.2,983
21.6,83.3,983
21.7,82.6,1721
21.7,82.7,1754
21.7,82.8,1970
21.7,82.9,1369
21.7,83.0,1369
21.7,83.1,878
21.7,83.2,983
21.7,83.3,983
21.8,82.6,413
21.8,82.7,413
21.8,82.8,1970
21.8,82.9,1369
21.8,83.0,1284
21.8,83.1,878
21.8,83.2,878
21.8,83.3,260
21.8,83.4,260
21.9,82.5,358
21.9,82.6,324
21.9,82.7,1925
21.9,82.8,1651
21.9,82.9,1651
21.9,83.0,1284
21.9,83.1,878
21.9,83.2,878
21.9,83.3,260
21.9,83.4,260
21.9,83.5,260
22.0,82.5,1696
22.0,82.6,324
22.0,82.7,1267
22.0,82.8,1651
22.0,82.9,1651
22.0,83.0,1564
22.0,83.1,1564
22.0,83.2,1564
22.0,83.3,1671
22.0,83.4,1671
22.1,82.5,1696
22.1,82.6,253
22.1,82.7,1267
22.1,82.8,1267
22.1,82.9,1815
22.1,83.0,1815
22.1,83.1,1564
22.1,83.2,1564
22.1,83.3,1671
22.1,83.4,1671
22.1,83.5,1671
22.2,82.5,253
22.2,82.6,253
22.2,82.7,253
22.2,82.8,817
22.2,82.9,1815
22.2,83.0,1815
22.2,83.1,1460
22.2,83.2,1460
22.2,83.3,1671
22.2,83.4,1671
22.2,83.5,1671
22.3,82.4,867
22.3,82.5,867
22.3,82.6,703
22.3,82.7,703
22.3,82.8,817
22.3,82.9,817
22.3,83.0,1460
22.3,83.1,1460
22.3,83.2,1460
22.3,83.3,1693
22.3,83.4,652
22.3,83.5,652
22.3,83.6,346
22.3,83.7,346
22.4,82.4,867
22.4,82.5,867
22.4,82.6,703
22.4,82.7,703
22.4,82.9,1496
22.4,83.0,1460
22.4,83.1,1460
22.4,83.2,1693
22.4,83.3,1693
22.4,83.4,652
22.4,83.5,652
22.4,83.6,346
22.4,83.7,346
22.4,83.8,160
22.4,83.9,160
22.5,82.4,937
22.5,82.5,937
22.5,82.6,1733
22.5,82.7,1733
22.5,82.9,350
22.5,83.0,350
22.5,83.1,1633
22.5,83.2,1633
22.5,83.3,1693
22.5,83.4,652
22.5,83.5,1367
22.5,83.6,1367
22.5,83.7,1110
22.5,83.8,160
22.5,83.9,160
22.6,82.5,937
22.6,82.6,1733
22.6,82.8,981
22.6,82.9,350
22.6,83.3,1522
22.6,83.4,1832
22.6,83.5,1367
22.6,83.6,1367
22.6,83.7,1110
22.6,83.8,1110
22.6,83.9,4
22.7,83.2,1522
22.7,83.3,1522
22.7,83.4,1832
22.7,83.5,306
22.7,83.8,1852
22.7,83.9,4
22.7,84.0,1498
22.7,84.1,1498
22.8,83.2,1137
22.8,83.3,20
22.8,83.4,20
22.8,83.9,861
22.8,84.0,545
22.8,84.1,545
22.8,84.2,1793
22.9,83.4,20
22.9,84.1,1793
22.9,84.2,1793
22.9,84.3,1793
23.0,82.9,844
23.0,83.0,1444
23.0,83.2,209
23.0,83.3,209
23.0,83.4,657
23.0,83.5,843
23.0,83.6,391
23.0,84.0,451
23.0,84.1,1793
23.1,82.1,1428
23.1,82.8,1883
23.1,82.9,315
23.1,83.0,315
23.1,83.1,1258
23.1,83.2,209
23.1,83.3,209
23.1,83.4,657
23.1,83.5,843
23.1,83.6,391
23.1,83.7,988
23.1,83.8,988
23.1,83.9,451
23.1,84.0,451
23.2,82.1,719
23.2,82.5,1375
23.2,82.8,797
23.2,82.9,315
23.2,83.0,315
23.2,83.1,1139
23.2,83.2,1139
23.2,83.3,1779
23.2,83.4,1779
23.2,83.5,95
23.2,83.6,95
23.2,83.7,34
23.2,83.8,34
23.2,83.9,1255
23.2,84.0,1255
23.3,82.4,1375
23.3,82.5,1375
23.3,82.6,797
23.3,82.7,797
23.3,82.8,797
23.3,82.9,1066
23.3,83.0,1066
23.3,83.1,1139
23.3,83.2,1139
23.3,83.3,579
23.3,83.4,1960
23.3,83.5,95
23.3,83.6,95
23.3,83.7,34
23.3,83.8,1255
23.3,83.9,1255
23.3,84.0,1255
23.4,82.5,523
23.4,82.6,1483
23.4,82.7,347
23.4,82.8,347
23.4,82.9,1066
23.4,83.0,1066
23.4,83.1,1648
23.4,83.2,1648
23.4,83.3,190
23.4,83.4,1960
23.4,83.5,1029
23.4,83.6,1029
23.4,83.7,1907
23.4,83.8,1907
23.4,83.9,1255
23.5,82.5,1483
23.5,82.6,1483
23.5,82.7,1483
23.5,82.8,1529
23.5,82.9,1529
23.5,83.0,1529
23.5,83.1,1501
23.5,83.2,1648
23.5,83.3,133
23.5,83.4,1362
23.5,83.5,1362
23.5,83.6,1336
23.5,83.7,1336
23.5,83.8,568
23.5,83.9,568
23.6,82.9,1945
23.6,83.0,1945
23.6,83.1,1501
23.6,83.2,1501
23.6,83.3,376
23.6,83.4,376
23.6,83.5,1362
23.6,83.6,1336
23.6,83.7,1336
23.6,83.9,568
23.7,82.9,1945
23.7,83.0,1945
23.7,83.1,1896
23.7,83.2,1896
23.7,83.3,509
23.7,83.4,509
23.7,83.5,509
23.7,83.6,1336
23.8,82.7,773
23.8,82.8,773
23.8,82.9,773
23.8,83.0,1896
23.8,83.1,1896
23.8,83.2,1896
23.8,83.3,1509
23.8,83.4,509
23.8,83.5,117
23.8,83.6,117
23.9,82.7,773
23.9,82.8,773
23.9,83.1,228
23.9,83.2,228
23.9,83.3,1509
24.0,83.2,228
24.0,83.3,1494
24.1,83.3,1494
17.9,81.0,1219
17.9,81.1,1272
17.9,81.2,1272
17.9,81.3,1145
17.9,81.4,1145
18.0,81.1,1069
18.0,81.2,1069
18.0,81.3,1973
18.0,81.4,1973
18.1,81.1,1069
18.1,81.2,1069
18.1,81.3,1973
18.1,81.4,1973
18.2,80.7,822
18.2,80.9,645
18.2,81.0,542
18.2,81.1,1895
18.2,81.2,1315
18.2,81.3,1315
18.2,81.4,1422
18.3,80.8,822
18.3,80.9,645
18.3,81.0,424
18.3,81.1,1895
18.3,81.2,1315
18.3,81.3,1315
18.3,81.4,1422
18.3,81.5,1422
18.4,80.7,1613
18.4,80.8,1233
18.4,80.9,1233
18.4,81.0,1407
18.4,81.1,1407
18.4,81.2,617
18.4,81.3,617
18.4,81.4,1422
18.4,81.5,1422
18.4,81.6,1513
18.4,81.7,1513
18.5,80.7,735
18.5,80.8,1233
18.5,80.9,1233
18.5,81.0,1407
18.5,81.1,1407
18.5,81.2,617
18.5,81.3,617
18.5,81.4,1005
18.5,81.5,1005
18.5,81.6,1513
18.5,81.7,1513
18.5,81.8,1513
18.6,80.6,1276
18.6,80.7,735
18.6,80.8,735
18.6,80.9,1424
18.6,81.0,254
18.6,81.1,254
18.6,81.2,617
18.6,81.3,617
18.6,81.4,1005
18.6,81.5,1005
18.6,81.6,896
18.6,81.7,896
18.6,81.8,298
18.6,81.9,298
18.7,81.0,254
18.7,81.1,254
18.7,81.2,1246
18.7,81.3,1246
18.7,81.4,1005
18.7,81.5,1005
18.7,81.6,896
18.7,81.7,896
18.7,81.8,298
18.7,81.9,298
18.8,81.0,216
18.8,81.1,216
18.8,81.2,1246
18.8,81.3,1246
18.8,81.4,222
18.8,81.5,222
18.8,81.6,896
18.8,81.7,1346
18.8,81.8,1346
18.8,81.9,1683
18.8,82.0,1683
18.8,82.1,1318
18.9,80.9,216
18.9,81.0,216
18.9,81.1,216
18.9,81.2,1373
18.9,81.3,1373
18.9,81.4,222
18.9,81.5,222
18.9,81.6,1346
18.9,81.9,1017
18.9,82.0,385
18.9,82.1,385
19.0,80.3,1078
19.0,80.4,1295
19.0,80.5,586
19.0,80.6,586
19.0,80.9,1802
19.0,81.0,1802
19.0,81.1,216
19.0,81.2,1373
19.0,81.3,1373
19.0,81.4,1767
19.0,81.5,1767
19.0,81.6,1967
19.0,81.7,1967
19.0,81.8,1967
19.0,81.9,1017
19.0,82.0,1017
19.0,82.1,385
19.1,80.3,1078
19.1,80.4,407
19.1,80.5,407
19.1,80.6,586
19.1,80.9,1802
19.1,81.0,1802
19.1,81.1,327
19.1,81.2,327
19.1,81.3,1767
19.1,81.4,1767
19.1,81.5,1767
19.1,81.6,1967
19.1,81.7,1967
19.1,81.8,804
19.1,81.9,1551
19.1,82.0,1551
19.1,82.1,553
19.2,80.4,407
19.2,80.5,832
19.2,80.6,832
19.2,80.9,454
19.2,81.0,454
19.2,81.1,327
19.2,81.2,327
19.2,81.3,552
19.2,81.4,552
19.2,81.5,1203
19.2,81.6,1203
19.2,81.7,804
19.2,81.8,804
19.2,81.9,1551
19.2,82.0,553
19.2,82.1,553
19.3,80.5,1209
19.3,80.6,1209
19.3,80.8,895
19.3,80.9,454
19.3,81.0,454
19.3,81.1,1465
19.3,81.2,1465
19.3,81.3,552
19.3,81.4,1743
19.3,81.5,1203
19.3,82.1,79
19.4,80.8,895
19.4,80.9,248
19.4,81.0,248
19.4,81.1,1465
19.4,81.2,1465
19.4,81.3,1465
19.4,81.4,1743
19.4,81.5,1982
19.4,82.1,79
19.5,80.9,248
19.5,81.0,248
19.5,81.3,1465
19.5,81.4,847
19.5,81.5,847
19.5,81.6,847
19.5,81.7,9
19.5,81.8,9
19.5,81.9,1140
19.5,82.0,79
19.6,80.8,1064
19.6,80.9,1064
19.6,81.0,1583
19.6,81.1,1583
19.6,81.2,1583
19.6,81.3,1000
19.6,81.4,1000
19.6,81.5,847
19.7,80.8,1064
19.7,80.9,1064
19.7,81.0,1064
19.7,81.1,1382
19.7,81.2,1382
19.7,81.3,1000
19.7,81.4,1000
19.7,81.8,1311
19.7,81.9,516
19.7,82.0,516
19.8,80.5,502
19.8,80.8,272
19.8,80.9,272
19.8,81.2,1382
19.8,81.3,1382
19.8,81.4,1372
19.8,81.5,1372
19.8,81.6,267
19.8,81.7,1972
19.8,81.8,1827
19.8,81.9,1827
19.8,82.0,516
19.9,80.5,502
19.9,80.6,502
19.9,80.7,502
19.9,80.8,1153
19.9,80.9,1153
19.9,81.0,637
19.9,81.1,637
19.9,81.2,406
19.9,81.3,406
19.9,81.4,1372
19.9,81.5,1372
19.9,81.6,267
19.9,81.7,267
19.9,81.8,899
19.9,82.3,1719
19.9,82.5,303
19.9,82.6,303
20.0,80.6,1865
20.0,80.7,1865
20.0,80.8,1153
20.0,80.9,921
20.0,81.0,921
20.0,81.1,637
20.0,81.2,406
20.0,81.3,406
20.0,81.4,744
20.0,81.5,744
20.0,81.6,744
20.0,81.7,899
20.0,81.8,899
20.0,82.3,1719
20.0,82.4,1719
20.0,82.5,303
20.0,82.6,303
20.1,80.5,423
20.1,80.6,1865
20.1,80.7,1865
20.1,80.8,1865
20.1,80.9,921
20.1,81.0,227
20.1,81.1,234
20.1,81.2,234
20.1,81.3,1288
20.1,81.4,744
20.1,81.5,744
20.1,81.6,744
20.1,81.7,1130
20.1,81.8,1130
20.1,82.0,1987
20.1,82.1,1535
20.1,82.2,1535
20.1,82.3,1535
20.2,80.4,423
20.2,80.5,423
20.2,80.6,423
20.2,80.7,1865
20.2,80.8,1919
20.2,80.9,227
20.2,81.0,227
20.2,81.1,234
20.2,81.2,1724
20.2,81.3,1288
20.2,81.4,1288
20.2,81.5,854
20.2,81.6,854
20.2,81.7,1130
20.2,81.8,1130
20.2,81.9,1987
20.2,82.2,1535
20.2,82.3,1535
20.3,80.5,423
20.3,80.6,1259
20.3,80.7,1919
20.3,80.8,1919
20.3,80.9,1165
20.3,81.0,1165
20.3,81.1,425
20.3,81.2,1724
20.3,81.3,421
20.3,81.4,1997
20.3,81.5,1971
20.3,81.6,934
20.3,81.7,934
20.3,81.8,1130
20.3,81.9,1987
20.3,82.2,240
20.3,82.3,240
20.4,80.6,1259
20.4,80.7,1259
20.4,80.8,1919
20.4,80.9,1165
20.4,81.0,1165
20.4,81.1,1511
20.4,81.2,1511
20.4,81.3,421
20.4,81.4,421
20.4,81.5,39
20.4,81.6,39
20.4,81.7,766
20.4,81.8,766
20.4,81.9,766
20.4,82.0,1622
20.4,82.1,1622
20.5,80.6,1259
20.5,80.7,1751
20.5,80.8,501
20.5,80.9,61
20.5,81.0,61
20.5,81.1,1699
20.5,81.2,1511
20.5,81.3,1216
20.5,81.4,1216
20.5,81.5,39
20.5,81.6,39
20.5,81.7,766
20.5,81.8,766
20.5,81.9,766
20.5,82.0,1622
20.5,82.1,1622
20.5,82.2,1622
20.5,82.3,119
20.6,80.6,1601
20.6,80.7,992
20.6,80.8,816
20.6,80.9,816
20.6,81.0,1699
20.6,81.1,1699
20.6,81.2,1699
20.6,81.3,1216
20.6,81.4,1216
20.6,81.5,1216
20.6,81.6,439
20.6,81.7,439
20.6,81.8,766
20.6,81.9,1151
20.6,82.0,1622
20.6,82.1,1796
20.6,82.2,1796
20.7,80.6,1601
20.7,80.7,992
20.7,80.8,1936
20.7,80.9,1623
20.7,81.0,1623
20.7,81.1,1649
20.7,81.2,1840
20.7,81.3,1840
20.7,81.4,999
20.7,81.5,999
20.7,81.6,439
20.7,81.7,439
20.7,81.8,1151
20.8,80.6,1230
20.8,80.7,992
20.8,80.8,1936
20.8,80.9,199
20.8,81.0,199
20.8,81.1,1649
20.8,81.2,1840
20.8,81.3,1840
20.8,81.4,999
20.8,81.5,999
20.8,81.6,439
20.8,81.7,439
20.8,81.8,1151
20.8,81.9,1151
20.8,82.0,1151
20.8,82.1,47
20.8,82.2,47
20.9,80.6,1230
20.9,80.7,1230
20.9,80.8,87
20.9,80.9,87
20.9,81.0,199
20.9,81.1,1649
20.9,81.2,1649
20.9,81.3,679
20.9,81.4,999
20.9,81.5,115
20.9,81.6,115
20.9,81.7,1143
20.9,81.8,1143
20.9,81.9,1340
20.9,82.0,1340
20.9,82.4,1961
21.0,80.6,1323
21.0,80.7,1323
21.0,80.8,87
21.0,80.9,87
21.0,81.0,572
21.0,81.1,572
21.0,81.2,679
21.0,81.3,679
21.0,81.4,679
21.0,81.5,115
21.0,81.6,115
21.0,81.7,1143
21.0,81.8,1143
21.0,81.9,1340
21.0,82.0,1340
21.0,82.3,591
21.0,82.4,1961
21.0,82.5,1961
21.1,80.5,331
21.1,80.6,331
21.1,80.7,1323
21.1,80.8,909
21.1,80.9,909
21.1,81.0,572
21.1,81.1,572
21.1,81.2,834
21.1,81.3,679
21.1,81.4,679
21.1,81.5,1923
21.1,81.6,1923
21.1,81.7,1644
21.1,81.8,1143
21.1,81.9,1225
21.1,82.0,1225
21.1,82.4,1609
21.1,82.5,1429
21.2,80.5,331
21.2,80.6,331
21.2,80.7,541
21.2,80.8,909
21.2,80.9,535
21.2,81.0,535
21.2,81.1,834
21.2,81.2,834
21.2,81.3,1333
21.2,81.4,1333
21.2,81.5,1923
21.2,81.6,1644
21.2,81.7,1644
21.2,81.8,476
21.2,81.9,1225
21.2,82.0,1225
21.2,82.4,748
21.2,82.5,1429
21.2,82.6,340
21.3,80.7,541
21.3,80.8,541
21.3,80.9,1624
21.3,81.0,783
21.3,81.1,1147
21.3,81.2,1147
21.3,81.3,1333
21.3,81.4,1333
21.3,81.8,476
21.3,81.9,1786
21.3,82.0,1786
21.3,82.4,748
21.3,82.5,1429
21.3,82.6,340
21.4,80.7,541
21.4,80.8,1624
21.4,80.9,1624
21.4,81.0,783
21.4,81.1,1147
21.4,81.2,1147
21.4,81.3,1125
21.4,81.4,1125
21.4,81.5,1571
21.4,81.6,1989
21.4,81.7,1989
21.4,81.8,1566
21.4,81.9,696
21.4,82.0,775
21.4,82.1,1182
21.4,82.2,105
21.4,82.3,105
21.4,82.4,1341
21.4,82.5,1341
21.4,82.6,583
21.5,80.7,723
21.5,80.8,96
21.5,80.9,96
21.5,81.0,1841
21.5,81.1,1841
21.5,81.2,1848
21.5,81.3,1125
21.5,81.4,1125
21.5,81.5,1571
21.5,81.6,560
21.5,81.7,560
21.5,81.8,1566
21.5,81.9,696
21.5,82.3,105
21.5,82.4,1341
21.5,82.5,1341
21.5,82.6,583
21.6,80.7,723
21.6,80.8,96
21.6,80.9,96
21.6,81.0,1841
21.6,81.1,1841
21.6,81.2,1848
21.6,81.3,1848
21.6,81.4,1589
21.6,81.5,204
21.6,81.6,560
21.6,81.7,560
21.6,81.8,613
21.6,81.9,613
21.6,82.0,962
21.6,82.1,1584
21.6,82.2,1584
21.6,82.3,961
21.6,82.4,961
21.6,82.5,1721
21.6,82.6,1721
21.7,80.7,188
21.7,80.8,188
21.7,80.9,188
21.7,81.0,615
21.7,81.1,615
21.7,81.2,1848
21.7,81.3,16
21.7,81.4,16
21.7,81.5,204
21.7,81.6,942
21.7,81.7,560
21.7,81.8,613
21.7,81.9,613
21.7,82.0,962
21.7,82.1,1584
21.7,82.2,1584
21.7,82.3,961
21.7,82.4,961
21.7,82.5,1721
21.8,80.8,188
21.8,80.9,188
21.8,81.0,615
21.8,81.1,615
21.8,81.4,16
21.8,81.5,942
21.8,81.6,301
21.8,81.7,1326
21.8,81.8,393
21.8,81.9,393
21.8,82.0,393
21.8,82.1,733
21.8,82.2,733
21.8,82.3,1615
21.8,82.4,1187
21.9,80.8,1389
21.9,80.9,1389
21.9,81.0,610
21.9,81.1,610
21.9,81.2,1365
21.9,81.3,1365
21.9,81.7,1326
21.9,81.8,480
21.9,81.9,393
21.9,82.0,1072
21.9,82.1,733
21.9,82.2,733
21.9,82.3,1615
21.9,82.4,357
22.0,80.9,1389
22.0,81.0,610
22.0,81.1,610
22.0,81.2,1365
22.0,81.3,1365
22.0,81.6,1083
22.0,81.7,51
22.0,81.8,480
22.0,81.9,764
22.0,82.2,733
22.0,82.3,1615
22.0,82.4,1696
22.1,80.9,1389
22.1,81.0,297
22.1,81.1,297
22.1,81.2,297
22.1,82.2,482
22.1,82.3,1627
22.1,82.4,1696
22.2,82.2,1725
22.2,82.3,1627
22.2,82.4,1627
22.3,82.2,1725
22.3,82.3,1627
22.4,82.1,1286
22.4,82.2,1725
22.4,82.3,867
22.4,82.8,1496
22.5,81.5,1993
22.5,81.6,1993
22.5,81.7,201
22.5,81.8,201
22.5,82.1,1286
22.5,82.2,1264
22.5,82.3,1264
22.5,82.8,1496
22.6,81.7,1870
22.6,81.8,1870
22.6,82.1,1285
22.6,82.2,1264
22.6,82.3,1264
22.6,82.4,937
22.6,82.7,1733
22.6,83.0,350
22.7,81.8,1870
22.7,81.9,1870
22.7,82.0,1285
22.7,82.1,1285
22.7,82.2,1626
22.7,82.3,1626
22.7,82.4,599
22.7,82.5,1211
22.7,82.6,1211
22.7,82.7,1666
22.7,82.8,981
22.7,82.9,1526
22.7,83.0,1526
22.8,82.3,599
22.8,82.4,599
22.8,82.5,1211
22.8,82.6,1211
22.8,82.7,1666
22.8,82.8,1666
22.8,82.9,1526
22.8,83.0,1526
22.9,82.0,24
22.9,82.1,410
22.9,82.2,410
22.9,82.3,599
22.9,82.4,599
22.9,82.5,651
22.9,82.6,401
22.9,82.7,401
22.9,82.8,844
22.9,82.9,844
22.9,83.0,1444
23.0,82.0,1428
23.0,82.1,1428
23.0,82.2,1641
23.0,82.3,778
23.0,82.7,1883
23.0,82.8,844
23.1,82.0,1428
23.1,82.2,1641
23.1,82.3,1641
23.1,82.4,778
23.1,82.5,651
23.1,82.6,1783
23.1,82.7,1883
23.2,82.2,719
23.2,82.3,719
23.2,82.4,1375
23.2,82.6,1783
23.2,82.7,797
23.3,82.2,719
23.3,82.3,719
23.4,82.0,1592
23.4,82.1,1592
23.4,82.2,719
23.4,82.3,523
23.4,82.4,523
23.5,82.0,1592
23.5,82.1,1592
23.5,82.2,150
23.5,82.3,523
23.5,82.4,523
23.6,81.6,88
23.6,81.7,88
23.6,81.8,1638
23.6,81.9,1638
23.6,82.0,956
23.6,82.1,956
23.6,82.2,150
23.6,82.3,150
23.6,82.4,669
23.6,82.5,669
23.6,82.6,1483
23.6,82.7,1483
23.6,82.8,1529
23.7,81.7,88
23.7,81.8,88
23.7,81.9,1638
23.7,82.0,956
23.7,82.1,956
23.7,82.2,455
18.0,81.0,1219
18.1,81.0,542
18.7,80.3,1337
18.7,80.4,1337
18.7,80.5,1276
18.7,80.6,1830
18.7,80.7,1830
18.7,80.8,1424
18.7,80.9,1424
18.8,80.3,1337
18.8,80.4,1337
18.8,80.5,1830
18.8,80.6,1830
18.8,80.7,1828
18.8,80.8,1828
18.8,80.9,1424
18.9,80.3,1295
18.9,80.4,1295
18.9,80.5,1295
18.9,80.6,586
18.9,80.7,1828
18.9,80.8,1828
18.9,81.7,1346
18.9,81.8,1346
19.0,80.7,586
19.0,80.8,1144
19.1,80.7,493
19.1,80.8,1144
19.2,80.7,493
19.2,80.8,1144
19.3,80.7,895
19.3,81.6,1982
19.3,81.7,1611
19.3,81.8,1611
19.3,81.9,1140
19.3,82.0,79
19.4,81.6,1982
19.4,81.7,9
19.4,81.8,9
19.4,81.9,1140
19.4,82.0,79
19.5,81.1,1583
19.5,81.2,1465
19.6,81.6,1842
19.6,81.7,1842
19.6,81.8,1311
19.6,81.9,1311
19.7,80.7,502
19.7,81.5,1372
19.7,81.6,1842
19.8,80.6,502
19.8,80.7,502
19.8,81.0,272
19.8,81.1,1382
20.2,82.0,1987
20.2,82.1,1987
20.3,82.0,1987
20.3,82.1,1987
20.4,82.2,240
20.4,82.3,240
20.7,81.9,1151
20.7,82.0,1151
20.7,82.1,1796
20.7,82.2,1796
20.7,82.3,119
20.9,82.2,591
20.9,82.3,591
21.0,80.4,622
