lat_r,lon_r,cluster
26.6,91.2,1073
26.6,91.3,1073
26.6,91.4,1263
26.6,92.0,489
26.6,92.1,1466
26.6,92.2,1466
26.6,92.3,332
26.6,92.6,441
26.6,92.7,441
26.6,92.9,932
26.6,93.0,699
26.6,93.1,230
26.6,93.2,230
26.7,90.0,1806
26.7,90.1,1042
26.7,90.2,1042
26.7,90.3,1042
26.7,90.4,1965
26.7,90.5,69
26.7,90.6,69
26.7,90.7,1192
26.7,91.3,1073
26.7,91.4,608
26.7,91.5,608
26.7,92.3,1183
26.7,92.4,1608
26.7,92.7,1215
26.7,92.8,932
26.7,92.9,932
26.7,93.0,699
26.7,93.1,699
26.7,93.2,330
26.7,93.3,330
26.7,93.4,1060
26.7,94.0,80
26.7,94.1,80
26.8,90.3,1042
26.8,90.4,1965
26.8,90.5,395
26.8,91.5,608
26.8,92.2,1183
26.8,92.3,1183
26.8,92.4,1608
26.8,92.5,1608
26.8,92.7,1215
26.8,92.8,932
26.8,92.9,932
26.8,93.2,330
26.8,94.0,80
26.8,94.1,80
26.8,94.5,1934
26.8,94.6,1934
26.9,92.6,1215
26.9,92.7,1215
26.9,94.0,660
26.9,94.1,1672
26.9,94.5,1158
26.9,94.6,1158
26.9,94.7,1481
26.9,94.8,628
27.0,94.7,1481
27.0,94.9,1293
27.3,95.7,1071
27.3,95.8,282
27.4,95.8,394
27.5,95.0,686
27.5,95.1,686
27.5,95.2,686
27.5,95.3,132
27.5,95.4,288
27.5,95.5,288
27.5,95.6,520
27.5,95.7,520
27.5,95.8,394
27.6,94.8,56
27.6,94.9,56
27.6,95.0,891
27.6,95.1,686
27.6,95.2,132
27.6,95.3,132
27.6,95.4,288
27.6,95.5,288
27.6,95.6,520
27.6,95.7,520
27.7,94.9,891
27.7,95.0,891
27.7,95.1,941
27.7,95.2,941
27.7,95.3,132
27.7,95.4,1459
27.7,95.5,1459
27.7,95.6,1459
27.7,95.7,520
27.8,95.3,941
27.8,95.4,1459
27.8,95.5,1459
27.8,95.6,1459
27.8,95.7,630
27.8,95.8,630
27.9,95.6,1314
27.9,95.8,630
27.9,95.9,1104
24.6,92.5,50
24.8,92.3,1797
24.8,92.4,1797
24.9,92.5,379
25.1,93.3,1269
25.2,93.1,126
25.3,92.9,460
25.3,93.0,104
25.3,93.2,1576
25.3,93.3,1363
25.3,93.4,1363
25.4,92.7,1468
25.4,93.0,629
25.4,93.1,104
25.4,93.3,1363
25.4,93.4,1363
25.5,92.7,1468
25.5,92.8,513
25.5,92.9,1118
25.6,92.6,266
25.6,92.7,266
25.6,92.8,513
25.6,92.9,1118
25.7,91.2,626
25.7,92.3,285
25.7,92.6,266
25.7,93.0,1928
25.7,93.1,1928
25.7,93.5,1396
25.8,89.9,183
25.8,91.1,1354
25.8,91.3,626
25.8,92.6,855
25.8,92.7,226
25.8,93.0,1351
25.8,93.1,1351
25.8,93.5,1396
25.9,91.2,626
25.9,91.3,626
25.9,91.4,626
25.9,91.5,641
25.9,91.7,554
25.9,92.2,285
25.9,92.3,285
25.9,92.4,614
25.9,92.5,614
25.9,92.6,1025
25.9,92.7,226
25.9,92.8,226
25.9,92.9,130
25.9,93.0,438
25.9,93.1,438
25.9,93.2,1351
25.9,93.4,685
25.9,93.7,1812
25.9,93.9,1963
26.0,90.6,1001
26.0,90.7,1001
26.0,91.1,1354
26.0,91.2,626
26.0,91.3,626
26.0,91.4,641
26.0,91.5,641
26.0,91.6,1086
26.0,91.7,1086
26.0,92.3,1489
26.0,92.4,614
26.0,92.5,614
26.0,92.7,1682
26.0,93.2,916
26.0,93.3,1872
26.0,93.4,1872
26.0,93.5,1604
26.0,93.6,1604
26.0,93.7,1812
26.0,93.8,1812
26.0,93.9,1963
26.1,89.8,1208
26.1,91.1,1710
26.1,91.2,1654
26.1,91.3,1654
26.1,91.4,641
26.1,91.5,641
26.1,91.6,1889
26.1,91.7,1889
26.1,91.8,1186
26.1,91.9,1186
26.1,92.3,1489
26.1,92.4,363
26.1,92.5,135
26.1,92.8,1682
26.1,93.2,916
26.1,93.3,1686
26.1,93.4,1686
26.1,93.5,1604
26.1,93.6,1604
26.1,93.7,291
26.1,93.8,1325
26.1,93.9,1325
26.2,89.8,1208
26.2,90.3,1478
26.2,90.5,1001
26.2,90.9,911
26.2,91.4,1654
26.2,91.5,1374
26.2,91.6,1374
26.2,91.7,1374
26.2,91.8,1186
26.2,91.9,1186
26.2,92.5,363
26.2,92.6,636
26.2,92.7,636
26.2,92.8,1954
26.2,92.9,1348
26.2,93.2,916
26.2,93.3,1686
26.2,93.4,1686
26.2,93.5,1604
26.2,93.6,291
26.2,93.7,291
26.2,93.8,1325
26.2,93.9,1325
26.2,94.0,1325
26.3,89.8,1011
26.3,91.0,294
26.3,91.1,294
26.3,91.2,452
26.3,91.6,1374
26.3,91.7,1374
26.3,91.8,1303
26.3,91.9,180
26.3,92.5,1787
26.3,93.0,1436
26.3,93.3,874
26.3,93.4,124
26.3,93.5,124
26.3,93.6,291
26.3,93.7,291
26.3,93.8,1325
26.3,93.9,1325
26.3,94.0,894
26.3,94.1,894
26.4,91.0,294
26.4,91.1,294
26.4,91.2,156
26.4,91.6,1734
26.4,91.7,1303
26.4,91.8,1303
26.4,91.9,1303
26.4,92.5,58
26.4,93.0,98
26.4,93.2,874
26.4,93.3,1358
26.4,93.4,124
26.4,93.5,943
26.4,93.6,943
26.4,93.7,532
26.4,93.8,532
26.4,93.9,893
26.4,94.0,894
26.4,94.1,894
26.5,89.9,1806
26.5,90.4,1335
26.5,90.9,1555
26.5,91.0,1694
26.5,91.1,156
26.5,91.6,1142
26.5,91.7,1303
26.5,91.8,1303
26.5,91.9,1303
26.5,92.0,1045
26.5,92.4,997
26.5,93.0,98
26.5,93.1,159
26.5,93.2,404
26.5,93.3,1358
26.5,93.4,380
26.5,93.5,943
26.5,93.6,943
26.5,93.7,532
26.5,93.8,532
26.5,93.9,893
26.5,94.0,893
26.5,94.1,1275
26.5,94.2,1275
26.5,94.3,593
26.5,94.4,593
26.6,90.2,549
26.6,90.8,1192
26.6,90.9,1555
26.6,91.1,1694
