cluster,0
0,33.236446
1,34.631554
2,13.400426
3,13.657679
4,3.1516364
5,9.64414
6,23.761257
7,40.57397
8,31.960844
9,62.145226
10,30.053207
11,56.37622
12,19.897612
13,2.5272498
14,39.819817
15,14.941548
16,52.963596
17,15.2591505
18,2.899773
19,3.3837237
20,2.4753878
21,15.32777
22,26.582397
23,33.99061
24,22.974693
25,44.010635
26,35.717815
27,26.499563
28,12.689886
29,10.309109
30,65.8819
31,22.323586
32,5.4881315
33,48.290325
34,61.04121
35,17.007795
36,38.965363
37,7.5322433
38,5.2628446
39,38.45425
40,29.725767
41,47.661438
42,18.350834
43,57.61889
44,6.9307227
45,24.13171
46,4.783363
47,10.998133
48,33.442272
49,23.574848
