cluster,month,anchor
11,4,0.04801708803594492
11,5,0.04230699542449218
11,6,0.039091855873750136
11,7,0.029663616144162037
11,8,0.03089170148682219
11,9,0.03241722943441908
11,10,0.03826204746801558
11,11,0.042939454219072394
11,12,0.044447318043194316
12,1,0.03597596847234423
12,2,0.03666920327150542
12,3,0.03900459638775901
12,4,0.03542289394452317
12,5,0.03337289568982285
12,6,0.033052433898954965
12,7,0.029932915170988027
12,8,0.029348214054767223
12,9,0.03260032050604209
12,10,0.03379335370106208
12,11,0.037243302550677586
12,12,0.03796412695770787
13,1,0.03584216941812639
13,2,0.035995563630184677
13,3,0.0375796935539721
13,4,0.03292154420001231
13,5,0.03225999541734392
13,6,0.03239449887984323
13,7,0.030000341008199243
13,8,0.030038778664854163
13,9,0.032063848347124745
13,10,0.03258388263926892
13,11,0.03574796491298512
13,12,0.036586672625826974
14,1,0.041533909507206666
14,2,0.04117412538493914
14,3,0.04489385820015594
14,4,0.04388754758532625
14,5,0.03953389053795358
14,6,0.031890807536931
14,7,0.027507742403495915
14,8,0.0295545744985848
14,9,0.031126677092315667
14,10,0.037134939558976066
14,11,0.04000196429668162
14,12,0.0410296027787801
15,1,0.04596733987895405
15,2,0.04209486330669624
15,3,0.043809863372286206
15,4,0.0433519772948688
15,5,0.04731474545855908
15,6,0.043846469192147935
15,7,0.0345284816259765
15,8,0.036492541931888084
15,9,0.038971421485524654
15,10,0.040160528640652615
15,11,0.05043550407881133
15,12,0.04872651156541806
16,1,0.04281718988274288
16,2,0.04088733328178959
16,3,0.04632625952862086
16,4,0.0462948888934844
16,5,0.04335595840046582
16,6,0.040333861399749406
16,7,0.03188124853993617
16,8,0.03263087785697695
16,9,0.03625623950171086
16,10,0.03714596991879853
16,11,0.04552184462532464
16,12,0.044813952812779986
17,1,0.03405188553257216
17,2,0.034518737398530355
17,3,0.035803025414053356
17,4,0.03267916607491861
17,5,0.031369657183118446
17,6,0.030804712407134477
17,7,0.029088138845097058
17,8,0.029644744224712666
17,9,0.029708444621710267
17,10,0.030860590397834606
17,11,0.03448416059187656
17,12,0.03495524338901365
18,1,0.0457253983253145
18,2,0.04577494024404681
18,3,0.04740793101806179
18,4,0.04905563498566096
18,5,0.04745155292988024
18,6,0.04498556609850843
18,7,0.034250728854653543
18,8,0.0360637739711123
18,9,0.03869841037257981
18,10,0.03883980369208491
18,11,0.04397781107187814
18,12,0.04642590554660451
19,1,0.039301113846144806
19,2,0.038350417028266914
19,3,0.04318424325699884
19,4,0.04350738582416907
19,5,0.03867136293100363
19,6,0.03404329431687047
19,7,0.027418604935538844
19,8,0.028631396336067563
19,9,0.031368986630348136
19,10,0.034939922011810585
19,11,0.039969274271131054
19,12,0.04032372241541873
20,1,0.036746430650811394
20,2,0.035606513538253094
20,3,0.03974803735036333
20,4,0.040798812675017664
20,5,0.03919879694968769
20,6,0.037640666003434464
20,7,0.029741594681887973
20,8,0.03137735352510123
20,9,0.034148981555838655
20,10,0.03312431408282153
20,11,0.03707257600014312
20,12,0.03703717396624577
21,1,0.04636221517495429
21,2,0.04392434044929592
21,3,0.04941615716233358
21,4,0.0520137389062604
21,5,0.04327886035229655
21,6,0.04195106973979669
21,7,0.03017632510269483
21,8,0.03213982525761697
21,9,0.03378664980531911
21,10,0.03824064298206975
21,11,0.0425073639780779
21,12,0.04501753552485158
22,1,0.03986338763441792
22,2,0.04015968882089879
22,3,0.04376369645299092
22,4,0.04260270702215921
22,5,0.03873282263260256
22,6,0.03245927462929388
22,7,0.027882576785681207
22,8,0.028378539867730916
22,9,0.029995144569967377
22,10,0.03616719021262918
22,11,0.038315475856122626
22,12,0.04032086917739035
23,1,0.03750034611803036
23,2,0.03878779017132099
23,3,0.042606379045226274
23,4,0.0422845843565643
23,5,0.037825334139965194
23,6,0.032327324812717884
23,7,0.026441272246835863
23,8,0.027678935118166815
23,9,0.03052037911269808
23,10,0.034209090625007876
23,11,0.03898023718017897
23,12,0.03876144351670029
24,1,0.038033832205050015
24,2,0.03667773966320944
24,3,0.04069244776340181
24,4,0.04038221331507472
24,5,0.039765130751629164
24,6,0.03777325063570639
24,7,0.030254583347781274
24,8,0.0318645707673568
24,9,0.0352992069555315
24,10,0.03423583819861577
24,11,0.03867430263001015
24,12,0.03833848306302957
25,1,0.036783222238097595
25,2,0.03755082439945313
25,3,0.04105485902481587
25,4,0.03891562210682082
25,5,0.035557930441867995
25,6,0.029128570909603694
25,7,0.024832255248978054
25,8,0.0257415589099242
25,9,0.027344630087149595
25,10,0.03358473798633233
25,11,0.03574953943825855
25,12,0.03704926871573646
26,1,0.03936363972243006
26,2,0.04143584172821981
26,3,0.04911806012269781
26,4,0.046664031090063195
26,5,0.03333932683056811
26,6,0.033310620517434116
26,7,0.024479112169245174
26,8,0.025790922361998536
26,9,0.02724148506155822
26,10,0.033896526009587084
26,11,0.0422424124102641
26,12,0.04262967073160467
27,1,0.035787816021736696
27,2,0.03578810771977447
27,3,0.039609930587991185
27,4,0.03531498896515874
27,5,0.03360369166881862
27,6,0.033017348846059544
27,7,0.030286165573392438
27,8,0.029721581477566195
27,9,0.0330522371436775
27,10,0.033675490903018954
27,11,0.03712099131099955
27,12,0.03756686298229068
28,1,0.03641152077616947
28,2,0.036418676193563225
28,3,0.03729770077418356
28,4,0.03685367224292142
