cluster,month,cluster_hist_avg
20,3,424.65801687288666
20,4,442.74854620268724
20,5,339.3819812272127
20,6,361.4796297515458
20,7,200.82608434314812
20,8,222.9788173767299
20,9,312.7494416812384
20,10,298.4127787696812
20,11,324.18571887593964
20,12,465.5153267331977
21,1,501.1761693765519
21,2,484.64362435856253
21,3,374.5077587295401
21,4,371.39399522413186
21,5,323.65883640410675
21,6,278.8458128831125
21,7,183.93460060558914
21,8,188.64900785493435
21,9,194.79748556364396
21,10,280.1623094074659
21,11,338.0392495625239
21,12,472.8849713492206
22,1,499.4828868968825
22,2,478.8623757959268
22,3,394.8236249072769
22,4,358.185751621693
22,5,329.2628300360586
22,6,313.0806051093352
22,7,189.02322043143707
22,8,202.18455498412905
22,9,205.91884717310785
22,10,299.3319735710368
22,11,381.45143291019747
22,12,515.1715639449683
23,1,450.43395584401344
23,2,513.6438928580416
23,3,386.16549752940625
23,4,416.87984322952656
23,5,310.7263280413255
23,6,347.63468212800285
23,7,212.84128170412654
23,8,234.2484182634302
23,9,246.6128109107616
23,10,247.63099736441922
23,11,302.7025981579915
23,12,431.28049062739854
24,1,471.31029004576334
24,2,492.7759956555998
24,3,358.01232436041903
24,4,356.70356034166116
24,5,272.7323423170699
24,6,280.54102351211446
24,7,165.6950605445755
24,8,192.50198318645766
24,9,206.54943708515282
24,10,258.817765370085
24,11,319.2374082083583
24,12,474.31360587136436
25,1,547.7647944017925
25,2,499.5723927695097
25,3,366.0213968403036
25,4,351.7523021007636
25,5,259.5692741084082
25,6,275.04446388233896
25,7,172.86015526894798
25,8,170.2283370091443
25,9,198.74261086690188
25,10,267.5757289314554
25,11,344.48545689521205
25,12,541.672316609669
26,1,530.0140513044598
26,2,508.55314260364133
26,3,412.4819502775956
26,4,396.4352927184313
26,5,340.0062220077933
26,6,322.90950954664095
26,7,236.87160080513297
26,8,252.13986745308384
26,9,217.95251849595653
26,10,293.21930084653263
26,11,321.1853206484328
26,12,479.8403372903342
27,1,458.64330975192684
27,2,465.5573803483469
27,3,331.9778501494716
27,4,345.629556324975
27,5,247.8180267465499
27,6,240.92858158127734
27,7,156.61281853254565
27,8,179.3714914224581
27,9,174.8077076871215
27,10,250.13562213066203
27,11,304.80503729055323
27,12,471.7999017786625
28,1,585.0213307702504
28,2,585.449816480261
28,3,436.1878334762507
28,4,477.01031523614716
28,5,371.0758115533027
28,6,344.55308679929004
28,7,219.43140201405922
28,8,198.429799234479
28,9,240.3544018068254
28,10,327.0567855791563
28,11,379.2275725351982
28,12,514.2868695091089
29,1,505.32187589427406
29,2,479.97565595323545
29,3,376.3682154345505
29,4,394.8865252899791
29,5,302.70987096784523
29,6,306.6290769999446
29,7,184.57732863658256
29,8,240.01018871142068
29,9,210.07878404860503
29,10,250.84027186033506
29,11,325.5608949340186
29,12,436.2426418666767
